"Author","Title","Category"
"Ndob A?chatou","Physical-chemical Properties of Foods: New Tools f","Agriculture, Aquaculture & Food Science"
"***************","SIT5 O-BK TEST","Architecture & Planning"
"Sacks","BIM Handbook: A Guide to Building Information Mode","Architecture & Planning"
"Regnier","Housing Design for an Increasingly Older Populatio","Architecture & Planning"
"Balfour","Walls of Jerusalem: Preserving the past controllin","Architecture & Planning"
"Balfour","Walls of Jerusalem: Preserving the past controllin","Architecture & Planning"
"Levy","BIM for Design Firms: data rich architecture at sm","Architecture & Planning"
"Leite","BIM for Design Coordination: A Virtual Design and ","Architecture & Planning"
"Yeang","At One with Nature: Advances in Ecological Archite","Architecture & Planning"
"Dunham-Jones","The Retrofitting Suburbia Case Studies: Designs fo","Architecture & Planning"
"Chappell","Practical Professional Practice","Architecture & Planning"
"Lewis","Design and Order: Principles in the planning and m","Architecture & Planning"
"Orbasli","Architectural Regeneration","Architecture & Planning"
"Graham","Comfort in the 21st century: acclimatizing to urba","Architecture & Planning"
"Piroozfar","Handbook of Architectural Detailing","Architecture & Planning"
"Walsh","A Guide to Eighteenth-Century Art","Art & Applied Arts"
"Facos","A Companion to","Art & Applied Arts"
"Massey","A Companion to Contemporary Design since 1945","Art & Applied Arts"
"Bull","A Companion to Photography","Art & Applied Arts"
"Rudolph","A Companion to Medieval Art: Romanesque and Gothic","Art & Applied Arts"
"Male","A Companion to Illustration: Art and Theory","Art & Applied Arts"
"Anreus","A Companion Modern and Contemporary Latin American","Art & Applied Arts"
"Allen","A Companion to Australian Art","Art & Applied Arts"
"Harris","A Companion to Textile Culture","Art & Applied Arts"
"Robinson","A Companion to Feminist Art","Art & Applied Arts"
"Woudhuysen","A Handbook of Design Futures and Innovation","Art & Applied Arts"
"Hershberger","Photographic Theory: A Brief Introduction","Art & Applied Arts"
"Albritton","Art History in a Global Context: Methods, Themes a","Art & Applied Arts"
"Buckley","A Companion to Curation","Art & Applied Arts"
"Park","A Companion to Korean Art","Art & Applied Arts"
"Dombrowski","Wiley Blackwell Companion to Impressionism","Art & Applied Arts"
"Chorpening","A Companion to Contemporary Drawing","Art & Applied Arts"
"Wiggers","A Companion to Contemporary Craft","Art & Applied Arts"
"Johnson","A Companion to Art History Methods","Art & Applied Arts"
"Eid","Mapping the Risks and Risk Management Practices in","Business, Economics, Finance & Accounting"
"Skinner","Digital Human - The Fourth Revolution of Humanity ","Business, Economics, Finance & Accounting"
"Choudhry","The Credit Default Swap Basis, Second Edition","Business, Economics, Finance & Accounting"
"Habib","Fundamentals of Islamic Finance and Banking","Business, Economics, Finance & Accounting"
"Bradley","Enron Ascending: The Forgotten Years, 1984-1996","Business, Economics, Finance & Accounting"
"Phillips","Value for Money: How to Show the Value for Money f","Business, Economics, Finance & Accounting"
"Heldman","Project Management JumpStart, Fourth Edition","Business, Economics, Finance & Accounting"
"Debref","Environmental Innovation and Ecodesign: Certaintie","Business, Economics, Finance & Accounting"
"Van Hoorebeke","The Management of Living Beings or Emo-management","Business, Economics, Finance & Accounting"
"Casadella","Innovation Systems in Emerging Economies: MINT (Me","Business, Economics, Finance & Accounting"
"Dai","Handbook of Healthcare Analytics: Theoretical Mini","Business, Economics, Finance & Accounting"
"Slywotzky","The Upside - The 7 Strategies for Turning Big Thre","Business, Economics, Finance & Accounting"
"Davidson","An Introduction to Econometric Theory","Business, Economics, Finance & Accounting"
"Duffy","Financial Instrument Pricing Using C++ 2e + Websit","Business, Economics, Finance & Accounting"
"Ruppel","Wiley GAAP for Governments 2018 - Interpretation a","Business, Economics, Finance & Accounting"
"Vento","Financial Independence (Getting to Point X): A Com","Business, Economics, Finance & Accounting"
"Croissant","Panel Data Econometrics with R","Business, Economics, Finance & Accounting"
"Kunc","Strategic Analytics: Integrating Management Scienc","Business, Economics, Finance & Accounting"
"Gurtner","Leveraging Constraints for Innovation: New Product","Business, Economics, Finance & Accounting"
"Scharfman","Private Equity Compliance: Analyzing Conflicts, Fe","Business, Economics, Finance & Accounting"
"Baskin","Branding Only Works on Cattle - The New Way to Get","Business, Economics, Finance & Accounting"
"Southwood","less walk more talk - How Celtel and the Mobile Ph","Business, Economics, Finance & Accounting"
"King","Bank 4.0 - Embedded, Ubiquitous, Extinct","Business, Economics, Finance & Accounting"
"Flood","Wiley GAAP: Financial Statement Disclosures Manual","Business, Economics, Finance & Accounting"
"Donohue","The Handbook of Behavioral Operations","Business, Economics, Finance & Accounting"
"Baker","Principles of Sequencing and Scheduling, Second Ed","Business, Economics, Finance & Accounting"
"Nasr","Remanufacturing and the Circular Economy","Business, Economics, Finance & Accounting"
"Panik","Linear Programming and Resource Allocation Modelin","Business, Economics, Finance & Accounting"
"BLACK","Accounting for Goodwill and Other Intangible Asset","Business, Economics, Finance & Accounting"
"Chau","Anti-Money Laundering Transaction Monitoring Syste","Business, Economics, Finance & Accounting"
"Barlow","Smart Cities, Smart Future: Showcasing Tomorrow","Business, Economics, Finance & Accounting"
"Naim","Operational Risk Modeling in Financial Services: T","Business, Economics, Finance & Accounting"
"Sharma","The Cloud-Based Demand-Driven Supply Chain","Business, Economics, Finance & Accounting"
"Abdelghany","Airline Network Planning and Scheduling","Business, Economics, Finance & Accounting"
"McCullough","A Wealth of Wisdom: 30 Questions That Every Afflue","Business, Economics, Finance & Accounting"
"Parrini-Alemann","Trust and Communication: from Interpersonal Relati","Business, Economics, Finance & Accounting"
"Strubel","Transformator","Business, Economics, Finance & Accounting"
"Aarons","Securitisation Derivatives: A Practitioner's Handb","Business, Economics, Finance & Accounting"
"Hohl","Agricultural Risk Transfer  From Insurance to Rei","Business, Economics, Finance & Accounting"
"Guida","Big Data and Machine Learning in Quantitative Inve","Business, Economics, Finance & Accounting"
"Rimai","Guide for Executing a Patent Strategy","Business, Economics, Finance & Accounting"
"Barberis","The REGTECH Book: The Financial Technology Handboo","Business, Economics, Finance & Accounting"
"Simmons","Collateral Management - A Guide to Mitigating Coun","Business, Economics, Finance & Accounting"
"AICPA","Guide to Data Analytics","Business, Economics, Finance & Accounting"
"Nikolopoulos","Forecasting with the Theta Method: Theory and Appl","Business, Economics, Finance & Accounting"
"Duneier","AlphaBrain: How a Group of Iconoclasts Are Using C","Business, Economics, Finance & Accounting"
"Choudhry","Analysing and Interpreting the Yield Curve, 2nd Ed","Business, Economics, Finance & Accounting"
"Koedijk","Achieving Investment Excellence  A Practical Guid","Business, Economics, Finance & Accounting"
"Nesbitt","Investment Opportunities in Corporate Direct Lendi","Business, Economics, Finance & Accounting"
"Walker","The Soul of Analytics","Business, Economics, Finance & Accounting"
"Haines","Advanced Strategies for Financial Services Complia","Business, Economics, Finance & Accounting"
"Datoo","Legal Data for Banking - Business Optimisation and","Business, Economics, Finance & Accounting"
"Chapelle","Operational Risk Management: Best Practices in the","Business, Economics, Finance & Accounting"
"Sebik","Accounting for Leases: Fundamental Principles","Business, Economics, Finance & Accounting"
"Fessler","The Energy Disruption Triangle: Three Sectors That","Business, Economics, Finance & Accounting"
"Pansera","Innovation and Development: The Politics at the Bo","Business, Economics, Finance & Accounting"
"Samier","Intuition, Creativity, Innovation","Business, Economics, Finance & Accounting"
"Tammas-Hastings","Liability-Driven Investment: From Analogue to Digi","Business, Economics, Finance & Accounting"
"Rezaee","Business Sustainability in Asia: Compliance, Perfo","Business, Economics, Finance & Accounting"
"Demaria","Introduction to Private Equity Third Edition","Business, Economics, Finance & Accounting"
"Bilokon","Machine Learning and Big Data with KDB+/Q","Business, Economics, Finance & Accounting"
"Chin","Problems and Solutions in Mathematical Finance Vol","Business, Economics, Finance & Accounting"
"Smallwood","Information Governance: Concepts, Strategies and B","Business, Economics, Finance & Accounting"
"Kenny","The Whistleblowing Guide: Speak-up Arrangements, C","Business, Economics, Finance & Accounting"
"Carmichael","Transfer Pricing: Alternative Practical Strategies","Business, Economics, Finance & Accounting"
"Altman","Corporate Financial Distress, Restructuring, and B","Business, Economics, Finance & Accounting"
"Demaria","Asset Allocation and Private Markets - A Guide to ","Business, Economics, Finance & Accounting"
"Person","Candlestick and Pivot Point Trading Triggers + Web","Business, Economics, Finance & Accounting"
"Fairhurst","Using Excel for Business and Financial Modelling -","Business, Economics, Finance & Accounting"
"Chun","Repute and Disrepute - The Inside-Out Approach to ","Business, Economics, Finance & Accounting"
"Pedneault","Managing Client Emotions in Forensic Accounting an","Business, Economics, Finance & Accounting"
"Mihaljevic","The Manual of Ideas, Second Edition: The Proven Fr","Business, Economics, Finance & Accounting"
"Stewart","Professional Portfolio Management","Business, Economics, Finance & Accounting"
"Walker","Sustainable Development Goals: Harnessing Business","Business, Economics, Finance & Accounting"
"Larreur","Structured Finance - LBOs, Project Finance, Asset ","Business, Economics, Finance & Accounting"
"Morri","Commercial Property Valuation","Business, Economics, Finance & Accounting"
"Zyla","Fair Value Measurement, Third Edition: Practical G","Business, Economics, Finance & Accounting"
"Mills","Financial Techtelligence: The Financial Advisor's ","Business, Economics, Finance & Accounting"
"Moeller","Auditing in an Internet of Things Environment: Key","Business, Economics, Finance & Accounting"
"Newton","Bankruptcy and Insolvency Taxation, 5th Edition","Business, Economics, Finance & Accounting"
"Mahjouri","Alternative Data: Capturing the Predictive Power o","Business, Economics, Finance & Accounting"
"Sands","Corporate Turnaround Artistry: Fix Any Business in","Business, Economics, Finance & Accounting"
"Chatterjee","Applied Risk Analysis for Guiding Homeland Securit","Business, Economics, Finance & Accounting"
"Ruppel","Wiley GAAP for Governments 2019 - Interpretation a","Business, Economics, Finance & Accounting"
"Singleton","Information Technology Best Practices for Auditors","Business, Economics, Finance & Accounting"
"Flood","Wiley Practitioner's Guide to GAAS 2019: Coveringa","Business, Economics, Finance & Accounting"
"Hubbard","The Failure of Risk Management: Why It's Broken an","Business, Economics, Finance & Accounting"
"McGhee","Machine Learning in Quantitative Finance  History","Business, Economics, Finance & Accounting"
"Gregory","The xVA Challenge - Counterparty Credit Risk, Fund","Business, Economics, Finance & Accounting"
"Williams","Economics of Property","Business, Economics, Finance & Accounting"
"Mariani","Quantitative Finance","Business, Economics, Finance & Accounting"
"Larkin","Wiley Not-for-Profit GAAP 2019: Interpretation and","Business, Economics, Finance & Accounting"
"Salerno","New Media: Populism and Democracy","Business, Economics, Finance & Accounting"
"Zatreanu","Data-Driven Investing + Website: How to Improve In","Business, Economics, Finance & Accounting"
"Ippolito","Principal Investing: The handbook of private equit","Business, Economics, Finance & Accounting"
"Baum","Asset Allocation in Real Estate Investment","Business, Economics, Finance & Accounting"
"Roberts","Unleashing the Power of IT: Bringing People, Busin","Business, Economics, Finance & Accounting"
"Cooperrider","Positive Organization Development: Change Manageme","Business, Economics, Finance & Accounting"
"Jones","Avoiding Data Pitfalls: How to steer clear of comm","Business, Economics, Finance & Accounting"
"Rosenbaum","Investment Banking: Career and Interview Guide","Business, Economics, Finance & Accounting"
"Walker","The Handbook of Banking Technology","Business, Economics, Finance & Accounting"
"Kocaoglu","Decision Analysis for Technology Management","Business, Economics, Finance & Accounting"
"Bocquet","Sciences in Society: Ways for Responsible Research","Business, Economics, Finance & Accounting"
"Chassagnon","Economics and Management of Creativity","Business, Economics, Finance & Accounting"
"Gilbert","Innovation, Research and Development Management oB","Business, Economics, Finance & Accounting"
"Liu","Green Revolution in China: Public Policies and Eco","Business, Economics, Finance & Accounting"
"Loisy","Knowledge and Competence in Training: Tools for De","Business, Economics, Finance & Accounting"
"Fridson","Financial Statement Analysis, 5th Edition: A Pract","Business, Economics, Finance & Accounting"
"Hudson","Fund Managers: The Complete Guide","Business, Economics, Finance & Accounting"
"Siboulet","The Quick Guide to Financial Models","Business, Economics, Finance & Accounting"
"Clerc","Strategic Intelligence for the Future: A New Strat","Business, Economics, Finance & Accounting"
"Gay","Innovation in SMEs: Changes, Realities and Prospec","Business, Economics, Finance & Accounting"
"Gilson","Radical Restructuring: Strategies to Increase Fina","Business, Economics, Finance & Accounting"
"Chouteau","Science, Technology and Innovation Culture","Business, Economics, Finance & Accounting"
"Lehmann","The Euro Currency","Business, Economics, Finance & Accounting"
"Masood","Fundamentals of Financial Management oBook (PDF)","Business, Economics, Finance & Accounting"
"Sekerke","Banking: Risk Management, Supervision and Regulati","Business, Economics, Finance & Accounting"
"Hirsch","The STA Seasonal Trading Course: How Seasonal Trad","Business, Economics, Finance & Accounting"
"Cady","Data Science: The Executive Summary - A Technical ","Business, Economics, Finance & Accounting"
"Bekkerman","Foundations of Econometrics Using SAS/R Simulation","Business, Economics, Finance & Accounting"
"Baum","Real Estate Investment and Finance, 2nd edition: S","Business, Economics, Finance & Accounting"
"Schofield","Commodity Derivatives - Markets and Applications, ","Business, Economics, Finance & Accounting"
"Hodgett","Smart Decisions: A Structured Approach to Decision","Business, Economics, Finance & Accounting"
"Dratwa","From Governing Innovation to Instituting Europe: C","Business, Economics, Finance & Accounting"
"Baum","Property Investment Appraisal, 4th Edition","Business, Economics, Finance & Accounting"
"Bello","Financial Aspects of Divorce","Business, Economics, Finance & Accounting"
"Schield","Statistical Literacy: Practical Statistics for Dec","Business, Economics, Finance & Accounting"
"Reinprecht","Social Housing and Globalisation","Business, Economics, Finance & Accounting"
"Driver","Governance, Risk Management, Financial Regulationa","Business, Economics, Finance & Accounting"
"Anderson","The Value of Debt in Divorce","Business, Economics, Finance & Accounting"
"Chan","Understanding Human Relations in Construction Proj","Business, Economics, Finance & Accounting"
"Young","Project Benefit Realisation and Project Management","Business, Economics, Finance & Accounting"
"Veil","Strategic Communication for a Crisis-Driven World","Business, Economics, Finance & Accounting"
"Kotiadis","Facilitative Discrete Event Simulation: A Practica","Business, Economics, Finance & Accounting"
"Smith","Learning Operations Research Through Puzzles and G","Business, Economics, Finance & Accounting"
"Donaldson","Positive Organizational Psychology: Theory, Resear","Business, Economics, Finance & Accounting"
"Joachim","SUSPENDED Data, Insight and Strategy: Analytics fo","Business, Economics, Finance & Accounting"
"Passmore","Coaching Psychology: Coaching in Health, Well-Bein","Business, Economics, Finance & Accounting"
"Bradley","Political Enron: A Business History. Part II: Fall","Business, Economics, Finance & Accounting"
"Geman","Investing in Art: Paintings, Sculpture and Other T","Business, Economics, Finance & Accounting"
"Perrone","SUSPENDED Competitive Analysis for Firm Valuation-","Business, Economics, Finance & Accounting"
"Hey-Hawkins","Boron-Based Compounds: Potential and Emerging Appl","Chemistry"
"Saran","Fermentation Technology: Processes and Innovations","Chemistry"
"Deutsche Forsch","MAK- und BAT-Werte-Liste 2018 - Maximale Arbeitspl","Chemistry"
"Islam","The Greening of Phamaceutical Chemistry, Volume 4:","Chemistry"
"Gakh","Molecular Devices: An Introduction to Technomimeti","Chemistry"
"Green","Statistical Analysis of Ecotoxicity Studies","Chemistry"
"El-Gendy","Biodsulfurization in Petroleum Refining","Chemistry"
"Sridhar","Advances in Pervaporation, Vapor Permeation and Me","Chemistry"
"Hunger","Industrial Organic Pigments 4e Production, Crystal","Chemistry"
"Giordanetto","Early Drug Development - Bringing a Preclinical Ca","Chemistry"
"Power","Inorganic Syntheses, Volume 37","Chemistry"
"Speight","Handbook of Natural Gas Analysis","Chemistry"
"La Barre","Blue Biotechnology - Production and Use of Marine ","Chemistry"
"Huang","Efficiency in Natural Product Total Synthesis","Chemistry"
"Kuila","Principles and Applications of Fermentation Techno","Chemistry"
"Coker","Petroleum Refining Design and Applications Handboo","Chemistry"
"Sahoo","A Polygeneration Process Concept for Hybrid Solara","Chemistry"
"Deutsche Forsch","List of MAK and BAT Values 2018 - Maximum Concentr","Chemistry"
"Haydary","Chemical Process Design and Simulation: Aspen Plus","Chemistry"
"CCPS","Bow Ties in Risk Management: A Concept Book for Pr","Chemistry"
"van't Land","Safety in Design","Chemistry"
"CCPS","Recognizing and Responding to Normalization of Dev","Chemistry"
"Wenk","Chemical Regulation in the Middle East","Chemistry"
"de With","Polymer Coatings - A Guide to Chemistry, Character","Chemistry"
"Burke","Active Pharmaceutical Ingredients in Synthesis: Ca","Chemistry"
"Greim","Toxicology and Risk Assessment: A Comprehensive In","Chemistry"
"Lieberman","Process Engineering: Fact, Fiction, and Fables","Chemistry"
"Dai","Carbon-Based Metal-Free Catalysts - Design and App","Chemistry"
"Prager","Practical Pharmaceutical Engineering","Chemistry"
"Heidersbach","Metallurgy and Corrosion Control in Oil and Gas Pr","Chemistry"
"Breault","Handbook of Chemical Looping Technology","Chemistry"
"Fleck","Biological Field Emission Scanning Electron Micros","Chemistry"
"Li","Pharmaceutical Crystals: Science and Engineering","Chemistry"
"Marin","Kinetics of Chemical Reactions - Decoding Complexi","Chemistry"
"CCPS","Guidelines for Integrating Process Safety into Eng","Chemistry"
"Kucera","Desalination: Water from Water, Second Edition","Chemistry"
"Roy","Water Treatment: A Historical Perspective on Techn","Chemistry"
"Sicker","Natural Products - Isolation, Structure Elucidatio","Chemistry"
"Panfilov","Physicochemical Fluid Dynamics in Porous Media - A","Chemistry"
"Robinson","A Practical Guide to Toxicology and Human Health R","Chemistry"
"Holynska","Single-Molecule Magnets - Molecular Architecturesa","Chemistry"
"Parrill","Reviews in Computational Chemistry, Volume 31","Chemistry"
"Alkire","Electrochemical Engineering - The Path from Discov","Chemistry"
"Elbashir","Natural Gas Processing from Midstream to Downstrea","Chemistry"
"Iaroshenko","Organophosphorus Chemistry - From Molecules to App","Chemistry"
"Sohail","Computational Approaches in Biomedical Nano-Engine","Chemistry"
"Maslowsky","Vibrational Spectra of Organometallics:al and Expe","Chemistry"
"Eliaz","Physical Electrochemistry 2e - Fundamentals, Techn","Chemistry"
"Sippl","Epigenetic Drug Discovery","Chemistry"
"Dong","Aptamers for Analytical Applications - Affinity Ac","Chemistry"
"Gervasio","Biomolecular Simulations in Structure-based Drug D","Chemistry"
"Hilfiker","Polymorphism in the Pharmaceutical Industry - Soli","Chemistry"
"Jjemba","Pharma-Ecology: The Occurrence and Fate of Pharmac","Chemistry"
"Possart","Adhesive Joints Ageing and Durability of Epoxiesan","Chemistry"
"Rosenau","Cellulose Science and Technology: Chemistry, Analy","Chemistry"
"Jeschke","Modern Crop Protection Compounds 3e","Chemistry"
"Komives","Bioprocessing Technology for Production of Biophar","Chemistry"
"Vidal","Protecting Groups - Strategies and Applicationsin ","Chemistry"
"de la Guardia","Handbook of Smart Materials in Analytical Chemistr","Chemistry"
"Nagarajan","Self-Assembly: From Surfactants to Nanoparticles","Chemistry"
"Malcata","MATHEMATICS FOR ENZYME REACTION KINETICS AND REACT","Chemistry"
"Saveant","Elements of Molecular and Biomolecular Electrochem","Chemistry"
"Dh?rissard","Soils as a Key Component of the Critical Zone 2: S","Chemistry"
"Balas","Innovative Research in Life Sciences: Pathways to ","Chemistry"
"Maniruzzaman","3D and 4D Printing in Biomedical Applications - Pr","Chemistry"
"Fern ndez Lucas","Enzymatic and Chemical Synthesis of Nucleic Acid D","Chemistry"
"Li","Silver Catalysis in Organic Synthesis","Chemistry"
"Paliyath","Postharvest Biology and Nanotechnology","Chemistry"
"Toghraei","Piping and Instrumentation Diagram Development","Chemistry"
"Pombeiro","Alkane Functionalization","Chemistry"
"Yamamoto","Molecular Technology - Four Volumes","Chemistry"
"Thomas","Essentials of Polymer Flooding Technique","Chemistry"
"Sanderson","Understanding Light Microscopy","Chemistry"
"Jacobs","Environmental Considerations Associated with Hydra","Chemistry"
"Klein Gebbink","Non-Noble Metal Catalysis - Molecular Approachesan","Chemistry"
"Correia de Sequ","High Temperature Corrosion: Fundamentals and Engin","Chemistry"
"Flynn","Kern's Process Heat Transfer, 2nd Edition","Chemistry"
"de Graaf","In Vivo NMR Spectroscopy: Principles and Technique","Chemistry"
"Russell","Practical Wastewater Treatment, Second Edition","Chemistry"
"am Ende","Chemical Engineering in the Pharmaceutical Industr","Chemistry"
"Reilly","Medical Imaging for Health Professionals: Technolo","Chemistry"
"Smith","Modern Raman Spectroscopy: A Practical Approach 2e","Chemistry"
"Yaghi","Introduction to Reticular Chemistry - Metal-Organi","Chemistry"
"Knipe","Organic Reaction Mechanisms 2016","Chemistry"
"Knipe","Organic Reaction Mechanisms 2015","Chemistry"
"Wu","Nanobiosensors - From Design to Applications","Chemistry"
"Zou","Microporous Materials for Separation Membranes","Chemistry"
"Tao","Chemical Proteomics and Strategies","Chemistry"
"am Ende","Chemical Engineering in the Pharmaceutical Industr","Chemistry"
"Zhou","Quantitative Pharmacology and Individualized Thera","Chemistry"
"Raju","Post-Translational Modifications of Therapeutic Pr","Chemistry"
"Malcata","ENZYME REACTION KINETICS AND REACTOR PERFORMANCE 2","Chemistry"
"Biju","N-Heterocyclic Carbenes in Organocatalysis","Chemistry"
"Chakraborty","Engineering of submicron particles: Fundamental co","Chemistry"
"Bleavins","Biomarkers in Drug Discovery and Development: A Ha","Chemistry"
"Voet","Lehrbuch der Biochemie 3e","Chemistry"
"CCPS","Guidelines for Investigating Chemical Process Inci","Chemistry"
"Kromidas","Der Gradient in der HPLC f?r Anwender","Chemistry"
"Kromidas","Gradient HPLC for Practitioners","Chemistry"
"Bialkowski","Photothermal Spectroscopy","Chemistry"
